200 1000

         0        21        95        82        56        41         6        25        10         4        63         6        44        40        75        79         0        89        35         9         1        85        84        12         0        26        91        11        35        82        26        69        56        86        45        91        59        18        76        39        18        57        36        61        36        21        71        11        29        82        82         6        71         8        77        74        30        89        76        76        40        93        56         1        50         4        36        27        85         2         1        15        11        35        11        20        21        61        80        58        21        76        72        44        85        94        90        51         3        48        29        90        66        41        15        83        96        74        45        65        40        54        83        14        71        77        36        53        37        26        87        76        91        13        29        11        77        32        87        67        94        79         2        10        99        56        70        99        60         4        56         2        60        72        74        46        13        20        86         4        77        15        89        48        14        89        44        59        22        57        63         6         0        62        41        62        46        25        75        76        40        66        58        30        68        78        91        13        59        49        85        84         8        38        41        56        39        53        77        50        30        58        55        19        85        52        34        53        40        69        12        85        72         7        49        46        87        58        17        68
        21         0        27        21         6        67        26        82        44        35         3        62         8        51         1        91        39        87        72        45        96         7        87        68        33         3        21        90        45        47        25        30        43        97        33        35        61        42        36        43         7        84         6         0         0        48        62        59        29        94        82        29         3         3        51        67        39        15        66        42        23        62        62        28        76        66        82        98        35        15        17        77        44        26        76        86        60        62        62        83        91        57        62        36         2         2        43        65        37        49        61         5        34        53        96        82        48        28        31        75         1        95         7        92        69        62        32        97         5        39        50        82        93        71        35        14        20        74        49        50        37        79        19        51        70        42        26        79        98        60        35         9        96        70        21        37        37        67        93        93        39         2        52        26        90        26         1        68        93         7        94        19        54        37         0        20        12        11        66        84        80         1        55         9        21        12        65         7        17        51        84        87         2        27        82        71        71        40        93        27        93        92        34        39        31        26         1        87        72        59        97        46        62        12        91        63        70         1        22        49
        95        27         0        24        58        62        49        94        92        63        13        45        22        69        70        18         1        44        32         3        72        99        34        45        18        96        82        79        75        83        43        26        81        39        66        22        71        58        42        91        56        27        56        28        64        98        69        69        93        35        41        67        12        33         1        71        72        26        86        67        67        24        10        46        56        56        69        53        48        74        43        94        29        64        97        38        12        99        51        87        76        71        47        47         9        71        20        81        99        45        56        15        99        64        57        84        83        61        25        41         8        46        52        22        33        68        52        28        75        99         6        85        65        47        90        24        79        70        28        19        87        80         4        21        34        12        20        67        24        94        10        64        52        92        49        68        65        66        28        81        17        58        99        90        70        17        57        37         2        37         3        43        20        68        35        60        23        48        40        10        42        83        82        27        49        15        34        50        42        26        33        23        16        69        97        13        35        80        40        55        30        22        76        55        56        91        74        82        96         2        13         4         4        35        48        29        42        56         3        30
        82        21        24         0        60        81        37        42         3        17        25        37        26        88        95        55        53        62        22        44        86        43        43        40        36        53        34        59        43        50        58        62        43         9        22        64        46        68        53         8        30        30        92         6        13        95        76        81        91        37        78        90        64        49        46        19        60        93        35        47        69        54        87        12        39        33        54        12        10         4        88        54        46        82        84         8        29        10        92        62        62        74        48        22        85        23         3        30        12        98        69        29        61        34        53        98        94        33        77        31        54        71        78         8        78        50        76        56        80        72        26        20        57        39        68        55        71        19        32        87        41        94        21        21        20        61        13         5        46        97        61         8        92        33        73         0        16        73        74        44        55        96        67        94        83        28        22        78        55        89        11        99        84        56        30        90        87        80        20        66        59        93        79        80        28        68        99        54        69        99         1        49        63        23        33        99        40        29        60        95        28        44        30        88        66         9        41         3         4        63        61        87        34        28        55        63        10        78        17        90
        56         6        58        60         0         0        66        62        30        76         0        91        62        73        38        49        85        86        88        13        71        46        75        98        53        52        10        84        70        44         8        52        59        48        85        29        94        79         4        85        31        54        95        75        81        11        56        38        95        37        67        54        88        93        53        44        68        58        98        55        84        76        19        46        89        89         5        23        63        19        53        20        47        17        66        60        86        14        52        27        77         5        37        27        53        88        84        63         1        26        18        85        59        24        64        81        12        72        32        64        18        79        23        56        63         2        78         3        32         3         2        18        89        50        69        66        20        97        52        81        42        28        71        71        53        87        31        36        99        98        38        97        26        31        60        83        43        16        91        96        52        48        12        17        13        35         7        96        17        59        26        30        43        53        26        37        93        35        49        33        87        55        48        63        81        55        12        28        79        62        63        11        56         0        10        34         1        75        62        33        68        51        53        80        84        40         3        32        27        32        61        27        92        25         2        15         9        30         0        97
        41        67        62        81         0         0        24        14        10        84        56        83         0        16        67         2         5        98        73        47        81        88        39        46        13         9        89        96        30        66        37         2         0         1         8        84        99         7        62        58        49        93        47        53        34        39         8        86        18        52         4        95         3        80         9         3         5        26        36        92         8        94        75         8        64        73        47        68        78         8        40         6        31        85        47        96         5        98        44        86         0        93        53        16        87        94        23        61        80        35        17        45        51        26        54        59        57        25        99        87        34        79        24        41        29         7        26        71        36        18        57        16        28         1        24        68        56        81         1        54        22        67        44         6        46        30         0        86        73        15        81        68        36        12        65        18        59        93        34        92        82        69         3        24        94        53        66        98         6        98        30        31        41        74        23        56        15        63        91        67        10        63         5        20        27        20        15        75        56        89        93        60        37        44        41        76        25         6        62        60        51        57        79        34        41        82        95        15        94        12        90        49        82        56        75        39        48        84        15        45
         6        26        49        37        66        24         0        93        74        87        39        10        81        54        80        88        13        62        11        65        72        18        81        55        82        20        33        20        77        99         5        70        31        33        52        47        55        29        74         7        30        64        45        13         7        96        98        47         0        60        94        53         6        97        20        94        42         4        30        25        64        12        44        74        96        54        44        32        74         5        84         4        44        64        68        38        35        29        11        39        69        85        79        60        83        12         5        55         9        49        88        61        92        23        54        81        58        29        27        80        10        78        55        72        49        31        63        37        68        36         5        74        74        57        65        82        51        27        28        85         5        73        48        23        44         0        39        53        80        33        43        99        80        98        61        46        15         4        33        66         6        77        84        82        33        12        24        91        45        83        85        44        45        51        78        88        31         3        42        34        46        71        12        80        15        81        21        54         1        72        84         9        35        21        64         8        66        94        50        37        42        40         6        30        12        34        27        29        33        82        54        75        75        54        19        67        42        63        79        10
        25        82        94        42        62        14        93         0        79        93        87        13        21        48        40        63        97        32        73        94        16         2        30        89         9        89         0        90         9         2        79        37        54        71        49        19         9        29        53        17        79        33        12         6         9        18        80        29        45         9        81         2        97        39        92        76        21        69         1        24        22        28        47        80        22        18        89        97        52        13        99        66        27        67        89        64        80        50        34        46        18        52        31        52        22        28        21        91         9        49        75        37        35        47        47        61        80        34        75        98        11        10        49         1        47        85        13        41        22        65        61        42        33        77        91        12        91        56        35        45        31        45        25        58         7        86        58        24         6        37        69        57         6        50        87        63        85        35        20        72        91        86        11        22        84        57        73         6         1        19        72        79        70        22        19         5        94         2        72        38        95        93        24        17        85        89        99        17        85        78        14        63        11        97         6        94        61        32         9        39        56        76        48         9        93        47        40        55         3        55        81        58        29        44        33        30        48         3        80        43
        10        44        92         3        30        10        74        79         0        88        43        17        27        56         4        86        32        76         6        41        55        32        41        20        61        75        46        60        10        38        99        62        70        30        49         3        22        17        26         2        29        62        69        28        61        33        21        55        27        73        89        88        42        26         1        22        41        66         1        88        78        68        30         9        60        44        24        42        35        90         0        13        71        61        67        68        65        78        33        92        21        34        27         9        26        79        33         1        22         2        10        27        38        25        59        44        28        72        91        32        30        55        30         3        57         9        34        94        18         7        17        85        28        38        40        29        91        81        85        74        18        19        69        69        43        64        29        32        33        25        70        76        31        89        56        49        29         2        26        84        34        64        67        33        59        89        45        63        45        75        76        52        40        44        32        10         6        35        25        75        56        78        92         4        92        98        29         9        79        98        86        40        18        53        12        48        71        15        87        79        94         1        97        40        31        87        97        57        26        41        21        51        38        82        68        68        12        48         2        66
         4        35        63        17        76        84        87        93        88         0        17        49        90        31        39        61        73         6        19        45        13        21        32        56        26        79        71         7        70        35        96        47        30        32        23        35        39        56        80        28        78        62        81        80        13        85        26         5        62         3        26        46        91        49        27        73        21        58         3        21        27        57        83        30        60        94        44        97        94        66         5        36        21        99        83        28         2        26        60        34        76        64        87        53        98        76        40        70        43        41        79        88        14        49        72        89        52        55        12         7        31        31        98        45        59        22        87         6        36        26        85         6        33        35        48        59        88        25        58        76        98        28        46        79        25        18        48        95        78        77        90        23         9        85        55        54        66        11        57        69        81        99        83        16        40        23        10        67        58        30         4         4        39        58        31        92        11        53        97        56        53        64        77        51        36        52        18        53        86        40        55        78        74        23         2         8         7        88        72        27        21        50         1        48        81        93        96        43        12        60        10        36        91        83        66         3        17        24        27        95
